,0
147,https://1xbet.whoscored.com/Matches/1485546/Live/England-Premier-League-2020-2021-Leicester-Crystal-Palace
148,https://1xbet.whoscored.com/Matches/1485194/Live/England-Premier-League-2020-2021-Arsenal-West-Ham
149,https://1xbet.whoscored.com/Matches/1485356/Live/England-Premier-League-2020-2021-West-Ham-West-Bromwich-Albion
150,https://1xbet.whoscored.com/Matches/1485407/Live/England-Premier-League-2020-2021-Manchester-United-Sheffield-United
151,https://1xbet.whoscored.com/Matches/1485510/Live/England-Premier-League-2020-2021-Sheffield-United-Arsenal
152,https://1xbet.whoscored.com/Matches/1485291/Live/England-Premier-League-2020-2021-Aston-Villa-Brighton
153,https://1xbet.whoscored.com/Matches/1485461/Live/England-Premier-League-2020-2021-Fulham-Southampton
154,https://1xbet.whoscored.com/Matches/1485184/Live/England-Premier-League-2020-2021-Burnley-Manchester-United
155,https://1xbet.whoscored.com/Matches/1485269/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-Crystal-Palace
156,https://1xbet.whoscored.com/Matches/1485229/Live/England-Premier-League-2020-2021-Manchester-City-Arsenal
157,https://1xbet.whoscored.com/Matches/1485382/Live/England-Premier-League-2020-2021-Manchester-City-Manchester-United
158,https://1xbet.whoscored.com/Matches/1485206/Live/England-Premier-League-2020-2021-Crystal-Palace-Everton
159,https://1xbet.whoscored.com/Matches/1485517/Live/England-Premier-League-2020-2021-Manchester-United-Leicester
160,https://1xbet.whoscored.com/Matches/1485370/Live/England-Premier-League-2020-2021-Brighton-Leicester
161,https://1xbet.whoscored.com/Matches/1485389/Live/England-Premier-League-2020-2021-Sheffield-United-Tottenham
162,https://1xbet.whoscored.com/Matches/1485421/Live/England-Premier-League-2020-2021-Southampton-Brighton
163,https://1xbet.whoscored.com/Matches/1485226/Live/England-Premier-League-2020-2021-Everton-Liverpool
164,https://1xbet.whoscored.com/Matches/1485286/Live/England-Premier-League-2020-2021-Leicester-Brighton
165,https://1xbet.whoscored.com/Matches/1485321/Live/England-Premier-League-2020-2021-Everton-West-Ham
166,https://1xbet.whoscored.com/Matches/1485327/Live/England-Premier-League-2020-2021-Manchester-City-Sheffield-United
167,https://1xbet.whoscored.com/Matches/1485213/Live/England-Premier-League-2020-2021-West-Ham-Wolverhampton-Wanderers
168,https://1xbet.whoscored.com/Matches/1485333/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Fulham
169,https://1xbet.whoscored.com/Matches/1485405/Live/England-Premier-League-2020-2021-Chelsea-Newcastle-United
170,https://1xbet.whoscored.com/Matches/1485468/Live/England-Premier-League-2020-2021-Burnley-Fulham
171,https://1xbet.whoscored.com/Matches/1485216/Live/England-Premier-League-2020-2021-Chelsea-Crystal-Palace
172,https://1xbet.whoscored.com/Matches/1485417/Live/England-Premier-League-2020-2021-Manchester-City-Tottenham
173,https://1xbet.whoscored.com/Matches/1485484/Live/England-Premier-League-2020-2021-Everton-Crystal-Palace
174,https://1xbet.whoscored.com/Matches/1485279/Live/England-Premier-League-2020-2021-Everton-Manchester-United
175,https://1xbet.whoscored.com/Matches/1485563/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-Manchester-United
176,https://1xbet.whoscored.com/Matches/1485464/Live/England-Premier-League-2020-2021-Southampton-West-Ham
177,https://1xbet.whoscored.com/Matches/1485487/Live/England-Premier-League-2020-2021-Tottenham-Sheffield-United
178,https://1xbet.whoscored.com/Matches/1485290/Live/England-Premier-League-2020-2021-Newcastle-United-West-Bromwich-Albion
179,https://1xbet.whoscored.com/Matches/1485302/Live/England-Premier-League-2020-2021-Leeds-Newcastle-United
180,https://1xbet.whoscored.com/Matches/1485399/Live/England-Premier-League-2020-2021-Arsenal-Leeds
181,https://1xbet.whoscored.com/Matches/1485273/Live/England-Premier-League-2020-2021-Brighton-Burnley
182,https://1xbet.whoscored.com/Matches/1485272/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Crystal-Palace
183,https://1xbet.whoscored.com/Matches/1485527/Live/England-Premier-League-2020-2021-Tottenham-Wolverhampton-Wanderers
184,https://1xbet.whoscored.com/Matches/1485504/Live/England-Premier-League-2020-2021-Fulham-Wolverhampton-Wanderers
185,https://1xbet.whoscored.com/Matches/1485352/Live/England-Premier-League-2020-2021-Manchester-City-West-Ham
186,https://1xbet.whoscored.com/Matches/1485483/Live/England-Premier-League-2020-2021-Newcastle-United-Arsenal
187,https://1xbet.whoscored.com/Matches/1485529/Live/England-Premier-League-2020-2021-Crystal-Palace-Aston-Villa
188,https://1xbet.whoscored.com/Matches/1485498/Live/England-Premier-League-2020-2021-Brighton-Everton
189,https://1xbet.whoscored.com/Matches/1485371/Live/England-Premier-League-2020-2021-Aston-Villa-Everton
190,https://1xbet.whoscored.com/Matches/1485364/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Brighton
