,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
2,Eddie Nketiah,13,Arsenal,23, FW  ,3(12),412,0.4,0.1,0.9,0,0.2,0.1,0,0,6.37
3,Nélson Semedo,161,Wolves,29," D(LR),M(R)  ",11(5),924,2,0.7,0.9,0,1.5,0.3,0.3,0,6.37
4,Steve Cook,174,Nottingham Forest,31, D(C)  ,11(1),959,0.7,1,0.4,0.9,4.2,0.1,0.9,0,6.37
5,Mateo Kovacic,15,Chelsea,28, M(CL)  ,6(7),753,1.2,0.9,0.6,0,0.7,0.3,0.1,0,6.37
6,Michail Antonio,29,West Ham,32," D(R),M(CLR),FW  ",7(10),741,0.3,0.1,0.9,0,0.2,0.1,0.1,0,6.36
7,Adam Smith,183,Bournemouth,31," D(LR),M(LR)  ",18,1549,1.8,0.7,1,0.1,1.9,0.8,0.5,0,6.36
8,Wilfred Ndidi,14,Leicester,26," D(C),DMC  ",9(4),786,1.8,1.2,1.1,0,1.5,0.8,0.5,0,6.36
9,Jordan Zemura,183,Bournemouth,23, D(L)  ,11(2),948,2,0.8,1,0.2,1.3,0.5,0.4,0,6.36
0,Luke Ayling,19,Leeds,31," D(CR),M(R)  ",3(7),339,0.7,0.6,0.3,0.1,0.8,0.7,0.4,0,6.36
1,Tyrick Mitchell,162,Crystal Palace,23, D(L)  ,13(2),1014,1.3,0.6,0.6,0.1,1.4,0.6,0.3,0,6.35
2,Marcos Senesi,183,Bournemouth,25, D(C)  ,14(1),1211,1.9,1.2,0.7,0.4,3.9,0.4,0.7,0,6.34
3,Thilo Kehrer,29,West Ham,26," D(CLR),M(R)  ",15,1350,1.6,1.3,1.3,0.3,2.5,1,0.3,1,6.33
4,Lewis O'Brien,174,Nottingham Forest,24," D(L),M(CL)  ",6(6),561,1.3,0.4,0.3,0.1,0.6,0.3,0.2,0,6.33
5,Jaidon Anthony,183,Bournemouth,23, AM(LR)  ,3(10),480,1.1,0.2,0.3,0,0.5,0.6,0.1,0,6.32
6,Philippe Coutinho,24,Aston Villa,30, M(CLR)  ,6(9),632,0.8,0.2,0.9,0,0,0.3,0.1,0,6.32
7,Jamie Vardy,14,Leicester,35," AM(L),FW  ",9(9),961,0.3,0.1,0.5,0,1,0.1,0.1,0,6.32
8,Frank Onyeka,189,Brentford,25, DMC  ,4(8),439,1.1,0.4,0.8,0,0.6,0.4,0.2,0,6.32
9,Taiwo Awoniyi,174,Nottingham Forest,25, FW  ,9(7),733,0.6,0.1,0.5,0,0.6,0.1,0.1,0,6.31
0,Samuel Edozie,18,Southampton,19, Forward  ,2(9),337,0.6,0.5,0.1,0,0.2,0.3,0,0,6.31
1,Scott McKenna,174,Nottingham Forest,26, D(C)  ,14,1260,0.8,0.7,0.5,0.4,4.7,0.2,0.9,0,6.31
2,Chris Wood,23,Newcastle,31, FW  ,4(13),439,0.3,0.1,0.2,0,0.4,0.1,0.1,0,6.31
3,Shandon Baptiste,189,Brentford,24, AM(C)  ,4(8),428,0.6,0.4,0.5,0,0.6,0.4,0.1,0,6.31
4,Leander Dendoncker,24,Aston Villa,27," D(C),M(C)  ",3(7),325,1.1,0.6,0.1,0,0.5,0.5,0.2,0,6.30
5,Brennan Johnson,174,Nottingham Forest,21," AM(CLR),FW  ",16(2),1445,0.7,0.1,1.1,0,0,0.1,0.1,0,6.30
6,Luka Milivojevic,162,Crystal Palace,31, DMC  ,2(8),280,0.9,0.6,0.8,0,0.8,0,0.1,0,6.30
7,Adam Armstrong,18,Southampton,25," AM(CLR),FW  ",11(6),912,0.5,0.1,0.5,0,0.2,0.2,0.2,0,6.30
8,Christian Pulisic,15,Chelsea,24," M(CLR),FW  ",6(10),606,0.7,0.1,0.6,0,0.3,0.1,0,0,6.29
9,Yves Bissouma,30,Tottenham,26, M(C)  ,8(8),772,0.7,0.6,0.8,0,0.4,0.3,0.3,0,6.29
