,player_name,team_number,team_name,age,position,Apps,Mins,Goals,Assists,SpG,KeyP,Dribble,Fouled,Off,Disp,UnsTch,Rating
2,Riyad Mahrez,167,Man City,31," AM(CLR),FW  ",6(6),580,2,1,1.4,1.4,0.7,0.5,0.2,0.6,1,6.80
3,Andreas Pereira,170,Fulham,27, M(CLR)  ,18,1485,2,4,1.4,2.3,0.4,1.1,0.1,1.3,2,6.80
4,Eric Dier,30,Tottenham,28," D(CR),DMC  ",16(1),1465,2,0,0.6,0.3,0,0.2,0.1,0.1,0.4,6.79
5,Virgil van Dijk,26,Liverpool,31, D(C)  ,17,1486,2,0,1.1,0.1,0.1,0,0.1,0,0.4,6.79
6,Rasmus Kristensen,19,Leeds,25," D(R),M(R)  ",13(1),1136,0,1,0.5,0.5,0.3,0.3,0.1,0.1,0.2,6.78
7,William Saliba,13,Arsenal,21, D(C)  ,17,1516,2,1,0.3,0.2,0.4,0.4,0,0.2,0.6,6.78
8,Dan Burn,23,Newcastle,30," D(CL),M(L)  ",17(1),1497,0,0,0.6,0.3,0.1,0.1,0.2,0.2,0.4,6.78
9,Kalidou Koulibaly,15,Chelsea,31, D(C)  ,11(1),1014,1,0,0.7,0.3,0.3,0.5,0,0.1,0.5,6.77
0,Bryan Mbeumo,189,Brentford,23," AM(LR),FW  ",18,1362,4,1,1.8,1.1,0.9,0.4,0.2,1.4,1.7,6.77
1,Michael Olise,162,Crystal Palace,21, AM(CLR)  ,11(5),999,1,4,1.3,1.5,1.3,1.4,0.1,1,2.3,6.76
2,Kai Havertz,15,Chelsea,23," M(CR),FW  ",14(2),1159,4,1,1.7,0.8,0.5,0.7,1,1.4,2.5,6.75
3,Ivan Perisic,30,Tottenham,33," M(CLR),FW  ",12(6),1097,0,5,0.6,1.5,0.4,0.1,0.2,0.5,1.2,6.74
4,James Justin,14,Leicester,24," D(CLR),M(LR)  ",14,1254,0,0,0.4,0.5,0.3,2.1,0.1,0.4,1.1,6.74
5,Lisandro Martínez,32,Man Utd,24," D(CL),DMC  ",14(1),1208,0,0,0.2,0.1,0.3,0.5,0,0.5,0.5,6.74
6,Tim Ream,170,Fulham,35," D(CL),DMC  ",18,1618,1,0,0.2,0,0.3,0.2,0.1,0.2,0.5,6.74
7,Raheem Sterling,15,Chelsea,28," M(CLR),FW  ",14(1),1122,4,2,1.3,1.5,0.9,1.1,0.5,2.3,1.9,6.74
8,Jack Harrison,19,Leeds,26," AM(CLR),FW  ",13(2),1036,1,4,0.9,1.9,1.3,1.2,0.1,1.7,2.9,6.73
9,Vitaly Janelt,189,Brentford,24, DMC  ,13(5),1201,2,1,0.4,0.4,0.4,0.8,0,0.4,0.6,6.73
0,Lukasz Fabianski,29,West Ham,37, GK  ,18,1515,0,0,0,0,0,0.2,0,0,0.1,6.73
1,Cristian Romero,30,Tottenham,24, D(C)  ,9(1),838,0,0,0.5,0.3,0.6,0.2,0,0.7,1.1,6.73
2,Raphaël Varane,32,Man Utd,29, D(C)  ,10(2),853,0,0,0.1,0.3,0.1,0.2,0.1,0,0.2,6.72
