,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating
8,Declan Rice,29,West Ham,18,1620,1,2,2,0,1.2,90.4,0.9,1,6.90
9,Mason Mount,15,Chelsea,15(1),1201,3,2,2,0,1.6,81.2,0.3,2,6.90
0,James Ward-Prowse,18,Southampton,18,1620,3,2,2,0,0.9,83.3,1.6,0,6.90
1,Trent Alexander-Arnold,26,Liverpool,15(2),1249,1,1,2,0,1,77.2,0.6,0,6.90
2,Nick Pope,23,Newcastle,18,1620,0,0,2,0,0,54.1,0.1,1,6.90
3,Joachim Andersen,162,Crystal Palace,16,1440,1,0,3,0,0.7,80.2,2.4,0,6.89
4,Callum Wilson,23,Newcastle,11(2),889,6,2,3,0,2.3,72.7,0.8,1,6.88
5,Emiliano Martínez,24,Aston Villa,16,1385,0,0,2,0,0,69.9,0.3,0,6.87
6,Luke Shaw,32,Man Utd,12(1),1056,1,1,3,0,0.4,85.9,1.2,0,6.87
7,Jordan Pickford,31,Everton,17,1530,0,1,3,0,0,57.1,0.2,3,6.86
8,Rodrigo,19,Leeds,15(1),1139,10,1,2,0,2.9,71.8,1.1,1,6.86
