,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub
4,Ryan Fredericks,29,West Ham,29,", D(R),M(R)",25,2237,3,0.8,31.7,74.1,0.6,1.1,0,6.80,2
5,Adam Webster,211,Brighton,26,", D(C)",31,2670,1,0.4,60.6,83.1,0.1,3.7,0,6.79,0
6,Robert Snodgrass,29,West Ham,34,", M(CLR)",17,1513,5,1.4,21,77.8,1.6,0.7,0,6.79,7
7,Jan Vertonghen,30,Tottenham,34,", D(CL)",19,1647,1,0.1,47.9,82.8,0,1.7,0,6.79,4
8,Ashley Westwood,184,Burnley,31,", DMC",35,3150,6,1.5,49.7,78.7,1.1,3.3,0.1,6.79,0
9,George Baldock,163,Sheff Utd,28,", D(CR),M(R)",38,3420,3,0.6,29.4,75.9,1,0.6,0,6.79,0
0,Granit Xhaka,13,Arsenal,29,", D(L),M(C)",30,2591,2,0.5,61.4,88.1,0.1,4.1,0,6.78,1
1,Joe Gomez,26,Liverpool,24,", D(CLR)",22,2000,0,0.2,71,88,0.1,3.7,0,6.78,6
2,Antonio Rüdiger,15,Chelsea,28,", D(CR)",19,1711,0,0.3,74.6,86.8,0.1,5.7,0,6.77,1
3,Nick Pope,184,Burnley,29,", GK",38,3420,0,0.1,26.5,37.6,0,7.3,0,6.77,0
4,Ayoze Pérez,14,Leicester,28,", AM(CLR),FW",26,2020,4,0.8,22.2,79.7,0.2,0.3,0.1,6.77,7
5,Mason Holgate,31,Everton,24,", D(CR),M(R)",24,2084,3,0.1,39.2,84.2,0,4.2,0.1,6.77,3
6,Joshua King,183,Bournemouth,29,", AM(CLR),FW",24,2020,4,1.2,19.2,72.3,0.2,0.2,0,6.76,2
7,Harvey Barnes,14,Leicester,23,", AM(CL)",24,2094,8,1,19.4,79.5,0.1,0.3,0.1,6.76,12
8,Diogo Jota,161,Wolves,24,", AM(CLR),FW",27,2298,1,0.9,24.8,79.8,0.3,0.7,0,6.76,7
9,Wesley,24,Aston Villa,24,", FW",21,1790,1,0.5,17.6,71.8,0,0.6,0,6.76,0
0,Patrick van Aanholt,162,Crystal Palace,31,", D(L),M(L)",29,2511,2,1.1,41.9,81.2,1.1,1,0,6.76,0
1,Fabian Schär,23,Newcastle,29,", D(C)",18,1634,0,0.2,34.6,74.8,0,4.3,0,6.75,4
2,Nathan Aké,183,Bournemouth,26,", D(CL),DMC",29,2505,2,0.2,41.7,87.6,0,1.8,0,6.75,0
3,Andreas Christensen,15,Chelsea,25,", D(C),DMC",21,1754,0,0.2,62.2,91.4,0,2.5,0.1,6.75,0
4,Angelo Ogbonna,29,West Ham,33,", D(C)",31,2787,0,0.1,31.5,76.2,0,2.5,0,6.74,0
5,Mason Greenwood,32,Man Utd,20,", AM(R),FW",12,1313,1,0.5,16,86.3,0,0.6,0,6.73,19
6,Moussa Sissoko,30,Tottenham,32,", M(CR)",28,2455,1,0.6,43,87.5,0.1,1.2,0,6.73,1
7,Federico Fernández,23,Newcastle,32,", D(C)",29,2618,2,0.1,34.7,77,0.2,3.1,0,6.73,3
