,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
139,Ferran Torres,167,Man City,23," AM(LR),FW  ",15(9),1306,2,0.8,16.9,85.2,0.1,0.4,0,6.76,7,1,0,1.5,0.6,2,0.8,0.7,0.2,0.9,1,0.5,0.1,0.7,0,0.3,0.5,0,0
140,Nicolas Pépé,13,Arsenal,28," AM(LR),FW  ",16(13),1614,1,0.4,21.7,81.1,0.2,0.2,0,6.76,10,1,1,1.7,1.2,4,1,0.9,0.1,0.8,1.9,0.7,0.4,0.4,0,0.4,0.5,0,0
141,Ross Barkley,24,Aston Villa,29, M(CLR)  ,18(6),1537,1,1.6,30.3,84.8,0.8,1.4,0,6.75,3,0,0,1.6,0.9,0,1.2,0.7,0.2,1.3,1.6,0.3,0.2,0.5,0,0.3,0.5,0,0
142,Hugo Lloris,30,Tottenham,36, GK  ,38,3420,0,0,23.6,69.3,0,4.8,0,6.75,0,0,0,0,0.2,2,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0
143,Willy-Arnaud Boly,161,Wolves,32, D(C)  ,21,1880,1,0.1,49.3,82.5,0,1.9,0,6.75,1,2,0,0.7,2.7,1,0.2,0.4,0,0.1,0.5,1.6,1.5,0.7,0.2,4,0.5,0.6,0
144,Dan Burn,211,Brighton,31," D(CL),M(L)  ",23(4),2060,0,0.4,40.7,75.6,0.3,1.1,0,6.75,1,5,0,0.6,3.6,3,0.4,0.2,0.1,0.3,1,1.9,1.1,1.3,0.1,2.6,1,0.3,1
145,Ezri Konsa,24,Aston Villa,26, D(CR)  ,35(1),3193,0,0.1,35.8,84.7,0,2.1,0,6.75,2,3,0,0.6,2.7,1,0.2,1.5,0,0.2,0.5,0.7,0.8,0.5,0.4,4.4,0.1,1.3,0
146,Jarrod Bowen,29,West Ham,26," AM(CLR),FW  ",30(8),2579,5,0.8,16.3,74.4,0.8,0.8,0,6.75,8,0,0,1.4,0.6,1,0.9,1.4,0.4,1.3,1.7,0.7,0.6,0.4,0,0.1,0.5,0,0
147,Thomas Partey,13,Arsenal,30," D(R),M(CR)  ",18(6),1537,2,0.5,47.5,87.2,0,2.7,0.1,6.75,0,5,0,1.1,1,1,1.2,0.7,0,0.4,0.9,1.8,1,0.8,0,0.6,1.3,0.2,0
148,Joelinton,23,Newcastle,27," AM(CLR),FW  ",23(8),1990,2,0.5,18.8,73,0,0.3,0,6.75,4,3,0,1.4,2.7,1,1.2,1.2,0.2,1.4,2.6,1.1,0.3,0.8,0,0.7,0.7,0.1,0
