,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,sub
6,Moussa Sissoko,30,Tottenham,28,2455,2,1,8,0,0.5,87.5,0.9,0,6.73,1
7,Federico Fernández,23,Newcastle,29,2618,2,2,8,0,0.5,77,1.9,2,6.73,3
8,Kasper Schmeichel,14,Leicester,38,3420,0,0,2,0,0,75.4,0.3,2,6.72,0
9,Chris Wood,184,Burnley,29,2446,14,1,1,0,2,63,3.8,2,6.72,3
0,Martin Dúbravka,23,Newcastle,38,3420,0,0,0,0,0,50.6,0.3,1,6.72,0
1,Steve Cook,183,Bournemouth,28,2430,1,0,6,1,0.4,79.2,4,1,6.72,1
2,Dean Henderson,163,Sheff Utd,36,3240,0,0,2,0,0,36.8,0.5,1,6.72,0
3,Isaac Hayden,23,Newcastle,26,2226,1,2,4,1,0.6,79,1.7,0,6.72,3
4,Craig Dawson,27,Watford,26,2361,2,0,6,0,0.9,77.5,3.5,1,6.72,3
5,Ismaila Sarr,27,Watford,22,2030,5,4,1,0,1.6,81.5,0.7,2,6.71,6
6,Yves Bissouma,211,Brighton,15,1263,1,0,4,0,0.7,85,0.8,1,6.71,7
7,Alex McCarthy,18,Southampton,28,2520,0,0,0,0,0,51.5,0.6,2,6.71,0
8,Victor Lindelöf,32,Man Utd,35,3124,1,0,6,0,0.2,86.5,2.7,0,6.71,0
9,Tanguy Ndombele,30,Tottenham,12,1011,2,2,3,0,0.4,85.6,0.3,1,6.71,9
0,Jefferson Lerma,183,Bournemouth,31,2709,1,2,11,1,0.9,78.7,1.7,0,6.70,2
1,Ilkay Gündogan,167,Man City,21,2017,2,1,7,0,1.1,91.9,0.4,0,6.70,10
2,John Lundstram,163,Sheff Utd,26,2456,5,3,5,0,1.3,82.7,0.7,1,6.70,8
3,Christian Kabasele,27,Watford,26,2253,0,2,1,2,0.3,72.7,2.3,1,6.70,1
4,Miguel Almirón,23,Newcastle,35,3034,4,2,5,0,1.6,80.2,0.3,2,6.70,1
5,Jamaal Lascelles,23,Newcastle,24,2079,1,0,5,0,0.4,79.8,3.1,1,6.70,0
6,Conor Hourihane,24,Aston Villa,18,1539,3,5,4,0,1.1,82.7,0.5,2,6.69,9
